aX,aY,aZ,gX,gY,gZ
-0.705,-0.066,0.717,32.043,-0.488,89.111
-0.591,-0.093,0.869,2.380,-1.587,87.280
-0.492,-0.221,0.917,-21.179,4.272,83.374
-0.411,-0.273,0.891,-27.710,11.597,81.665
-0.340,-0.273,0.784,-23.743,16.541,80.750
-0.277,-0.280,0.704,-16.724,15.198,78.613
-0.200,-0.302,0.695,-14.404,8.057,77.148
-0.147,-0.252,0.749,-17.517,1.343,76.721
-0.096,-0.207,0.807,-16.113,-3.540,75.073
-0.060,-0.193,0.805,-8.789,-5.981,70.557
-0.006,-0.175,0.864,-7.263,-8.850,66.833
0.061,-0.191,0.923,-7.263,-10.315,62.073
0.132,-0.175,0.959,-0.488,-10.254,57.739
0.241,-0.186,0.931,5.798,-8.911,52.429
0.349,-0.271,1.034,7.385,-9.888,45.837
0.437,-0.266,1.125,6.531,-6.775,42.297
0.482,-0.199,1.176,5.554,0.427,41.504
0.480,-0.200,1.138,6.775,9.216,37.476
0.469,-0.177,1.035,13.123,17.029,32.654
0.457,-0.066,0.951,25.146,19.165,28.198
0.486,-0.083,0.784,38.696,17.944,20.935
0.544,-0.103,0.747,42.236,11.963,14.709
0.632,0.077,0.903,35.217,4.089,11.963
0.759,0.049,1.127,25.330,2.014,2.502
0.855,-0.077,1.216,22.339,9.705,-10.315
0.882,-0.107,1.277,17.456,21.790,-15.747
0.870,-0.132,1.169,17.212,35.339,-18.005
0.831,-0.232,1.046,19.104,45.288,-20.691
0.766,-0.224,0.874,19.592,49.255,-19.531
0.723,-0.043,0.778,21.545,46.326,-18.433
0.721,0.016,0.726,30.334,36.987,-26.733
0.769,-0.112,0.747,38.757,28.931,-40.039
0.833,-0.276,0.821,30.823,24.231,-46.936
0.857,-0.296,0.935,13.123,23.682,-45.227
0.840,-0.299,0.931,0.549,27.832,-44.922
0.793,-0.410,0.900,-1.831,32.532,-50.537
0.721,-0.505,0.784,7.935,35.889,-54.138
0.647,-0.556,0.694,15.625,35.522,-52.490
0.592,-0.578,0.609,17.578,30.945,-48.157
0.561,-0.686,0.585,12.817,23.315,-43.579
0.544,-0.729,0.619,5.493,13.367,-35.645
0.533,-0.642,0.694,0.610,4.089,-25.208
0.526,-0.580,0.770,-0.366,-3.113,-17.883
0.525,-0.561,0.861,0.000,-8.179,-14.282
0.506,-0.523,0.926,0.244,-10.132,-9.827
0.475,-0.459,0.955,-0.793,-9.033,-5.310
0.447,-0.406,1.012,-4.822,-7.385,-2.747
0.399,-0.409,1.051,-9.277,-4.578,-2.197
0.333,-0.407,1.033,-9.216,-1.343,-1.221
0.269,-0.441,0.979,-5.920,0.549,-0.549
0.241,-0.462,0.992,-8.057,0.671,-0.244
0.231,-0.439,1.024,-12.329,0.183,1.587
0.221,-0.415,1.016,-14.221,1.648,4.028
0.201,-0.406,1.005,-15.991,4.272,5.249
0.179,-0.404,0.976,-15.686,5.310,5.676
0.149,-0.333,0.895,-14.343,6.287,7.324
