aX,aY,aZ,gX,gY,gZ
0.661,-0.588,0.070,2.747,9.705,13.672
0.660,-0.607,0.058,2.380,9.521,10.132
0.656,-0.632,0.037,1.526,9.094,7.324
0.651,-0.677,0.014,1.831,7.812,5.615
0.650,-0.697,0.018,2.136,5.676,5.737
0.650,-0.692,0.023,3.052,4.028,6.958

0.882,-1.345,0.317,4.700,27.710,12.207
0.863,-1.382,0.257,5.066,35.583,20.081
0.840,-1.419,0.203,5.981,41.931,26.978
0.814,-1.448,0.171,8.850,45.471,34.729
0.778,-1.480,0.148,13.550,47.607,42.419
0.734,-1.509,0.120,20.081,48.828,50.964
0.684,-1.534,0.079,28.015,49.316,60.669
0.628,-1.580,0.004,36.011,48.828,71.228
0.571,-1.610,-0.079,41.626,47.485,83.801
0.514,-1.628,-0.133,44.312,44.189,98.511
0.464,-1.607,-0.186,44.739,40.833,115.112
0.404,-1.595,-0.203,43.823,36.682,132.263
0.350,-1.538,-0.291,44.312,32.654,149.963
0.305,-1.504,-0.340,46.875,24.963,167.419
0.260,-1.470,-0.388,52.429,15.930,183.777
0.219,-1.446,-0.368,59.204,4.944,199.646
0.155,-1.414,-0.361,66.956,-5.127,215.393
0.098,-1.415,-0.297,74.341,-15.930,231.750
0.014,-1.423,-0.252,79.834,-24.841,248.657
-0.055,-1.334,-0.194,83.740,-31.860,268.677
-0.146,-1.273,-0.165,85.632,-36.987,289.673
-0.215,-1.083,-0.101,83.496,-40.710,310.852
-0.273,-0.867,-0.085,81.848,-43.335,329.529
-0.321,-0.740,-0.075,79.834,-46.448,341.064
-0.367,-0.561,0.005,74.646,-50.903,350.464
-0.370,-0.367,0.128,70.129,-54.077,356.812
-0.363,-0.182,0.195,64.575,-53.589,358.215
-0.369,-0.087,0.170,59.448,-49.927,354.797
-0.389,-0.046,0.141,57.678,-48.584,349.792
-0.421,-0.072,0.190,60.913,-52.002,345.398
-0.464,-0.082,0.271,67.749,-56.335,344.666
-0.489,-0.049,0.407,74.768,-60.120,348.206
-0.487,0.162,0.508,79.224,-59.998,354.919
-0.467,0.386,0.496,78.979,-55.054,358.337
-0.444,0.562,0.423,74.463,-49.988,355.896
-0.423,0.682,0.391,70.618,-48.950,349.365
-0.408,0.708,0.414,70.923,-51.453,339.661
-0.365,0.773,0.594,74.036,-55.786,330.811
-0.323,0.886,0.709,78.857,-54.810,322.998
-0.300,0.965,0.682,84.229,-47.485,313.232
-0.302,0.953,0.587,92.041,-41.260,301.331
-0.298,0.942,0.566,104.309,-40.894,290.283
-0.307,0.909,0.562,117.493,-42.175,280.762
-0.320,0.850,0.553,125.488,-42.664,272.949
-0.321,0.891,0.571,127.686,-43.274,269.287
