aX,aY,aZ,gX,gY,gZ
-0.272,1.372,0.709,-57.129,120.239,3.723
-0.234,1.371,0.614,-65.979,124.329,-17.944
-0.226,1.300,0.462,-74.402,127.869,-40.649
-0.250,1.182,0.319,-84.900,128.601,-61.584
-0.289,1.005,0.117,-88.745,125.977,-79.834
-0.319,0.906,-0.072,-85.327,117.432,-92.285
-0.322,0.808,-0.165,-78.247,101.807,-101.196
-0.295,0.754,-0.169,-72.571,83.191,-107.483
-0.247,0.763,-0.090,-67.139,64.514,-112.244
-0.173,0.906,0.091,-63.721,49.805,-117.737
-0.122,1.035,0.216,-63.538,43.823,-128.174
-0.110,1.099,0.265,-71.472,44.434,-144.470
-0.139,1.035,0.200,-84.839,46.814,-164.307
