aX,aY,aZ,gX,gY,gZ
-0.641,0.053,2.022,40.894,45.715,147.644
-0.638,0.236,1.858,36.804,57.129,145.630
-0.624,0.403,1.703,32.288,65.979,139.221
-0.605,0.500,1.614,33.020,69.275,129.456
-0.559,0.598,1.465,33.813,72.449,120.361
-0.508,0.654,1.415,32.715,72.876,110.535
-0.461,0.665,1.401,34.607,72.021,99.731
-0.418,0.663,1.365,35.034,74.097,87.708
-0.405,0.673,1.260,34.912,78.918,77.637
-0.393,0.761,1.131,37.354,82.458,69.946
-0.382,0.846,1.010,37.354,83.069,60.425
-0.361,0.897,0.901,30.884,80.750,48.096
-0.329,0.877,0.846,22.644,75.317,32.715
-0.297,0.864,0.864,8.545,67.383,18.433
-0.256,0.725,0.928,-4.272,62.378,2.869
-0.234,0.622,0.968,-11.475,61.157,-8.667
-0.223,0.564,0.812,-9.766,66.162,-17.212
-0.211,0.470,0.714,-9.033,66.528,-24.414
-0.208,0.462,0.615,-10.071,63.049,-29.419
-0.212,0.342,0.600,-7.812,55.603,-36.438
-0.213,0.174,0.539,-2.747,48.096,-42.786
-0.207,0.008,0.543,0.183,39.612,-45.105

-0.297,-0.632,1.687,-81.482,-32.227,77.515
-0.315,-0.613,1.564,-67.322,-21.729,87.219
-0.342,-0.586,1.521,-52.673,-16.968,97.351
-0.374,-0.428,1.457,-41.870,-14.038,109.070
-0.395,-0.144,1.537,-31.067,-14.893,117.249
-0.395,0.141,1.646,-28.442,-15.015,117.310
-0.391,0.285,1.812,-49.988,-10.681,107.239
-0.371,0.264,1.928,-77.515,-1.587,91.675
-0.342,0.017,2.049,-96.924,11.719,74.463
-0.356,-0.087,1.937,-107.361,31.982,66.345
-0.378,-0.053,1.726,-99.426,49.866,68.237
-0.400,-0.023,1.544,-91.858,61.523,68.665
-0.412,0.160,1.425,-86.243,66.528,70.557
-0.425,0.221,1.322,-84.045,69.031,67.871
-0.426,0.238,1.309,-85.327,68.054,61.340
-0.420,0.244,1.444,-87.280,65.613,55.725
-0.408,0.301,1.577,-89.722,68.359,50.476
-0.414,0.318,1.645,-95.642,77.820,44.495
-0.410,0.323,1.672,-105.286,91.309,37.903
-0.413,0.365,1.692,-113.708,106.995,32.837
-0.423,0.435,1.604,-118.408,125.549,28.809
-0.411,0.488,1.447,-121.277,141.479,22.461
-0.401,0.519,1.381,-121.765,149.963,15.320
-0.397,0.610,1.240,-130.920,157.715,9.216
-0.380,0.691,1.123,-139.282,162.842,1.343
-0.366,0.766,1.101,-130.859,160.156,-8.423
-0.355,0.821,1.055,-117.676,159.058,-19.958
-0.346,0.908,0.936,-114.136,161.560,-31.250
-0.334,0.951,0.869,-119.446,161.499,-43.945
-0.300,0.964,0.877,-125.793,157.471,-56.580
-0.263,0.860,0.909,-127.441,154.846,-70.313
-0.247,0.754,0.912,-114.746,153.442,-82.092
-0.263,0.767,0.865,-99.487,153.870,-88.928
-0.293,0.799,0.678,-80.322,156.311,-96.252
-0.311,0.764,0.625,-67.627,152.405,-104.797
-0.333,0.761,0.528,-59.021,148.010,-111.572
-0.350,0.807,0.461,-54.810,142.395,-117.065
-0.342,0.705,0.280,-48.462,135.803,-126.892
-0.315,0.601,0.256,-51.941,124.268,-134.277
-0.279,0.553,0.388,-59.082,109.619,-138.306
-0.232,0.479,0.426,-61.462,102.173,-142.212
-0.203,0.449,0.367,-58.350,99.609,-143.738
-0.179,0.468,0.273,-52.490,95.215,-144.165
-0.149,0.420,0.268,-46.143,87.036,-145.264
-0.128,0.423,0.278,-37.048,79.590,-145.630
-0.111,0.462,0.160,-25.818,75.989,-145.630
-0.090,0.427,0.046,-18.311,70.740,-148.437
-0.055,0.427,-0.009,-16.052,61.462,-149.658
-0.006,0.379,0.032,-18.799,50.537,-150.757
0.023,0.343,0.060,-19.714,42.236,-151.001
0.038,0.295,-0.027,-18.494,38.940,-151.062
0.047,0.230,-0.130,-13.977,33.447,-151.306
0.067,0.208,-0.167,-8.057,23.621,-149.536
0.087,0.148,-0.212,-3.418,13.550,-148.132
0.116,0.108,-0.209,-1.709,3.845,-146.362
0.148,0.039,-0.207,-2.747,-4.578,-144.348
0.180,-0.001,-0.229,-6.897,-12.451,-141.541
0.214,-0.065,-0.220,-17.151,-20.142,-138.306
0.238,-0.156,-0.218,-29.663,-28.259,-135.010
0.260,-0.209,-0.202,-35.767,-35.522,-130.249
0.267,-0.248,-0.238,-32.104,-42.664,-125.183
0.270,-0.263,-0.297,-26.367,-50.415,-119.812
0.254,-0.261,-0.306,-23.254,-62.378,-114.685
0.246,-0.312,-0.302,-22.827,-76.050,-111.450
0.244,-0.399,-0.198,-27.161,-91.187,-108.398
0.241,-0.501,-0.045,-31.006,-104.980,-103.699
0.242,-0.589,0.020,-33.569,-113.342,-97.290
0.218,-0.706,0.101,-26.184,-120.178,-89.478
0.182,-0.718,0.109,-16.418,-126.099,-79.285
0.140,-0.738,0.152,-13.123,-132.446,-69.214
0.098,-0.733,0.221,-12.817,-140.320,-60.364
0.063,-0.726,0.330,-15.381,-148.437,-51.880
0.054,-0.780,0.446,-20.813,-153.625,-45.471
0.055,-0.825,0.504,-22.400,-156.067,-38.086
0.060,-0.868,0.492,-22.522,-157.349,-29.663
0.039,-0.843,0.540,-19.592,-161.377,-20.325
0.016,-0.733,0.605,-11.658,-166.992,-10.132
-0.004,-0.718,0.660,-7.019,-170.227,-4.150
-0.020,-0.740,0.781,-7.996,-173.218,0.793
-0.038,-0.688,0.881,-4.822,-173.218,8.545
-0.054,-0.625,0.865,2.991,-169.312,16.113
-0.059,-0.570,0.846,6.897,-167.053,21.484
-0.063,-0.523,0.837,8.545,-168.030,25.818
-0.077,-0.535,0.823,8.728,-170.715,28.564
-0.104,-0.586,0.872,4.639,-174.377,32.166
-0.141,-0.606,0.989,2.563,-177.917,38.208
-0.179,-0.581,1.130,3.967,-178.711,46.814
-0.227,-0.489,1.246,12.939,-176.147,56.458
-0.259,-0.404,1.315,20.264,-170.654,63.782
-0.277,-0.349,1.470,20.142,-167.480,67.627
-0.306,-0.319,1.523,16.907,-159.485,69.946
-0.334,-0.309,1.487,19.287,-148.376,71.289
-0.355,-0.463,1.465,8.423,-140.503,69.397
-0.368,-0.570,1.485,-2.258,-134.827,72.327
-0.416,-0.587,1.589,-13.977,-130.310,80.627
-0.435,-0.552,1.719,-12.573,-127.014,89.844
-0.431,-0.494,1.820,-0.244,-120.422,100.586
-0.418,-0.484,1.871,4.639,-111.511,106.201
-0.414,-0.402,1.914,1.099,-100.464,112.488
-0.419,-0.369,1.954,-6.958,-88.257,116.150
-0.427,-0.406,1.950,-14.648,-73.730,117.859
-0.446,-0.353,1.960,-15.869,-61.035,121.948
-0.441,-0.312,2.011,-12.024,-50.781,124.634
-0.457,-0.319,2.105,-4.395,-40.649,125.122
-0.476,-0.199,2.074,7.629,-28.442,127.625
-0.495,-0.126,2.034,10.193,-15.808,128.479
-0.513,-0.040,2.008,8.179,-6.348,127.991
-0.502,0.009,1.950,-1.770,3.052,127.258
-0.484,0.032,1.931,-7.019,11.353,126.648
-0.483,0.093,1.849,-1.099,20.691,126.892
-0.475,0.141,1.732,5.676,29.419,126.526
-0.451,0.242,1.749,10.925,33.325,126.343
-0.433,0.354,1.690,16.968,38.208,125.305
-0.442,0.443,1.698,20.996,43.335,121.643
-0.441,0.533,1.594,21.484,49.744,116.760
-0.419,0.590,1.504,21.423,55.542,110.535
-0.394,0.615,1.422,19.531,58.777,102.905
-0.363,0.711,1.316,19.836,62.012,95.703
-0.334,0.750,1.240,22.156,62.622,86.914

-0.231,-0.716,1.586,-34.119,-20.325,93.689
-0.261,-0.672,1.583,-35.889,-14.587,103.149
-0.298,-0.598,1.590,-36.316,-9.277,112.671
-0.318,-0.455,1.608,-39.124,-4.272,121.887
-0.336,-0.255,1.686,-46.570,1.160,128.296
-0.318,-0.021,1.763,-55.298,8.362,129.578
-0.276,-0.015,1.812,-79.163,20.020,122.131
-0.274,0.143,1.836,-101.868,33.875,115.601
-0.277,0.184,1.616,-114.075,49.805,107.117
-0.272,0.056,1.502,-119.568,58.533,92.896
-0.265,0.024,1.484,-120.605,61.096,86.426
-0.249,-0.008,1.446,-118.835,65.796,83.130
-0.242,-0.059,1.355,-108.887,71.167,80.566
-0.231,-0.052,1.209,-97.229,75.134,80.688
-0.228,-0.051,1.152,-86.243,74.341,81.421
-0.230,0.015,1.139,-74.951,71.655,83.313
-0.220,0.169,1.107,-70.129,71.411,85.205
-0.212,0.367,1.114,-72.632,70.862,83.191
-0.172,0.483,1.257,-78.064,69.214,75.378
-0.146,0.645,1.369,-89.233,74.158,63.904
-0.129,0.786,1.320,-104.553,87.524,49.622
-0.099,0.808,1.245,-122.437,99.915,31.006
-0.073,0.796,1.164,-135.864,107.971,13.062
-0.053,0.813,1.111,-137.634,112.854,-0.916
-0.046,0.935,0.957,-124.329,117.798,-11.475
-0.047,1.016,0.828,-113.647,118.591,-23.926
-0.061,1.127,0.756,-103.210,114.685,-35.950
